"Link","Name","Pos","Year","College","RAS","ALLTIME"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30112&ovl=Iowa"">Link</a>","Karson Sharar","LB","2026","Iowa","9.55","9.55"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30194&ovl=Wyoming"">Link</a>","Caden Barnett","OG","2026","Wyoming","9.55","9.55"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29932&ovl=Mississippi"">Link</a>","De'Zhaun Stribling","WR","2026","Mississippi","9.55","9.55"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30014&ovl=Georgia+Tech"">Link</a>","Keylan Rutledge","OG","2026","Georgia Tech","9.54","9.54"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=31172&ovl=BYU"">Link</a>","Mory Bamba","CB","2026","BYU","9.54","9.54"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30111&ovl=Michigan"">Link</a>","Jimmy Rolder","LB","2026","Michigan","9.51","9.51"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=31042&ovl=Washington"">Link</a>","Omari Evans","WR","2026","Washington","9.50","9.50"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29966&ovl=Oregon"">Link</a>","Kenyon Sadiq","TE","2026","Oregon","9.49","9.49"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30594&ovl=Ball+State"">Link</a>","Adam Saul","PK","2026","Ball State","9.49","9.49"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29916&ovl=Texas+Tech"">Link</a>","Caleb Douglas","WR","2026","Texas Tech","9.48","9.48"
